link,name
https://www.ikea.com/pt/pt/catalog/categories/departments/pets/39569/,Gatos
https://www.ikea.com/pt/pt/catalog/categories/departments/pets/39570/,Cães
https://www.ikea.com/pt/pt/catalog/categories/departments/home_electronics/36812/,Smart lighting
https://www.ikea.com/pt/pt/catalog/categories/departments/home_electronics/40845/,Cabos e carregadores
https://www.ikea.com/pt/pt/catalog/categories/departments/home_electronics/40843/,Acessórios para telemóveis e tablets
https://www.ikea.com/pt/pt/catalog/categories/departments/home_electronics/16292/,Ferramentas e ferragens
https://www.ikea.com/pt/pt/catalog/categories/departments/home_electronics/40842/,Colunas
https://www.ikea.com/pt/pt/catalog/categories/departments/food/25217/,Carne
https://www.ikea.com/pt/pt/catalog/categories/departments/food/25214/,Peixe e marisco
https://www.ikea.com/pt/pt/catalog/categories/departments/food/25213/,Fácil de preparar
https://www.ikea.com/pt/pt/catalog/categories/departments/food/25212/,Pão e produtos lácteos
https://www.ikea.com/pt/pt/catalog/categories/departments/food/25211/,Bebidas
https://www.ikea.com/pt/pt/catalog/categories/departments/food/25216/,"Molhos, compotas e condimentos"
https://www.ikea.com/pt/pt/catalog/categories/departments/food/25215/,"Sobremesas, bolos e bolachas"
https://www.ikea.com/pt/pt/catalog/categories/departments/food/25218/,"Doces, chocolates e aperitivos"
https://www.ikea.com/pt/pt/catalog/categories/departments/food/25302/,Sacos térmicos e livros de receitas
https://www.ikea.com/pt/pt/catalog/categories/departments/kitchen/16292/,Ferramentas e ferragens
https://www.ikea.com/pt/pt/catalog/categories/departments/kitchen/20810/,Fornos
https://www.ikea.com/pt/pt/catalog/categories/departments/kitchen/20812/,Placas
https://www.ikea.com/pt/pt/catalog/categories/departments/kitchen/20819/,Exaustores e filtros
https://www.ikea.com/pt/pt/catalog/categories/departments/kitchen/20825/,Máquinas de lavar loiça
https://www.ikea.com/pt/pt/catalog/categories/departments/kitchen/20822/,Frigoríficos e congeladores
https://www.ikea.com/pt/pt/catalog/categories/departments/kitchen/20815/,Fornos micro-ondas e fornos combinados micro-ondas
https://www.ikea.com/pt/pt/catalog/categories/departments/kitchen/24254/,Armários e frentes de cozinha
https://www.ikea.com/pt/pt/catalog/categories/departments/kitchen/20826/,Máquinas de lavar roupa
https://www.ikea.com/pt/pt/catalog/categories/departments/kitchen/24255/,Organizadores de interior
https://www.ikea.com/pt/pt/catalog/categories/departments/kitchen/24261/,METOD torneiras de cozinha e lava-loiças
https://www.ikea.com/pt/pt/catalog/categories/departments/kitchen/24264/,Bancadas
https://www.ikea.com/pt/pt/catalog/categories/departments/kitchen/16298/,Maçanetas e puxadores
https://www.ikea.com/pt/pt/catalog/categories/departments/kitchen/kitchen_int_lighting/,Iluminação integrada
https://www.ikea.com/pt/pt/catalog/categories/departments/kitchen/20676/,Arrumação de parede
https://www.ikea.com/pt/pt/catalog/categories/departments/kitchen/10471/,Ilhas e carrinhos de cozinha
https://www.ikea.com/pt/pt/catalog/categories/departments/kitchen/20611/,Escadotes
https://www.ikea.com/pt/pt/catalog/categories/departments/kitchen/19121/,Painéis de parede
https://www.ikea.com/pt/pt/catalog/categories/departments/kitchen/16200/,Despensa
https://www.ikea.com/pt/pt/catalog/categories/departments/kitchen/22957/,Cozinhas independentes
https://www.ikea.com/pt/pt/catalog/categories/departments/outdoor/21964/,Móveis de refeição para exterior
https://www.ikea.com/pt/pt/catalog/categories/departments/outdoor/21959/,Móveis para descontrair
